train_id,date,day_of_week,origin_station,destination_station,scheduled_departure,scheduled_arrival,actual_departure,actual_arrival,current_delay_min,distance_km,weather,congestion_level,hour_of_day,is_weekend,is_holiday,future_delay_min,future_delay_hms
T100,2024-01-01,Monday,Howrah,Bardhaman,05:00,06:30,05:00,06:57,0.0,95,Clear,High,5,False,False,27.8,0h 27m 48s
T100,2024-01-01,Monday,Bardhaman,Durgapur,06:30,07:20,06:57,07:57,27.8,55,Clear,Low,6,False,False,37.4,0h 37m 24s
T100,2024-01-01,Monday,Durgapur,Asansol,07:20,08:00,07:57,08:44,37.4,40,Clear,Medium,7,False,False,44.7,0h 44m 42s
T100,2024-01-01,Monday,Asansol,Dhanbad,08:00,09:00,08:44,10:07,44.7,60,Clear,Medium,8,False,False,67.4,1h 7m 24s
T101,2024-01-01,Monday,Howrah,Bardhaman,07:00,08:30,07:00,08:49,0.0,95,Clear,High,7,False,False,19.5,0h 19m 30s
T101,2024-01-01,Monday,Bardhaman,Durgapur,08:30,09:20,08:49,09:50,19.5,55,Clear,Medium,8,False,False,30.2,0h 30m 12s
T101,2024-01-01,Monday,Durgapur,Asansol,09:20,10:00,09:50,10:51,30.2,40,Clear,High,9,False,False,51.7,0h 51m 42s
T101,2024-01-01,Monday,Asansol,Dhanbad,10:00,11:00,10:51,12:09,51.7,60,Clear,High,10,False,False,69.6,1h 9m 36s
T102,2024-01-01,Monday,Howrah,Bardhaman,09:00,10:30,09:00,10:44,0.0,95,Clear,High,9,False,False,14.1,0h 14m 6s
T102,2024-01-01,Monday,Bardhaman,Durgapur,10:30,11:20,10:44,12:12,14.1,55,Fog,Medium,10,False,False,52.1,0h 52m 6s
T102,2024-01-01,Monday,Durgapur,Asansol,11:20,12:00,12:12,13:02,52.1,40,Clear,Low,11,False,False,62.0,1h 2m 0s
T102,2024-01-01,Monday,Asansol,Dhanbad,12:00,13:00,13:02,14:11,62.0,60,Clear,Low,12,False,False,71.3,1h 11m 18s
T103,2024-01-01,Monday,Howrah,Bardhaman,11:00,12:30,11:00,12:50,0.0,95,Rain,Low,11,False,False,20.5,0h 20m 30s
T103,2024-01-01,Monday,Bardhaman,Durgapur,12:30,13:20,12:50,14:04,20.5,55,Clear,Medium,12,False,False,44.7,0h 44m 42s
T103,2024-01-01,Monday,Durgapur,Asansol,13:20,14:00,14:04,15:15,44.7,40,Clear,Medium,13,False,False,75.9,1h 15m 54s
T103,2024-01-01,Monday,Asansol,Dhanbad,14:00,15:00,15:15,16:37,75.9,60,Rain,Low,14,False,False,97.9,1h 37m 54s
T104,2024-01-01,Monday,Howrah,Bardhaman,13:00,14:30,13:00,14:42,0.0,95,Rain,Medium,13,False,False,12.7,0h 12m 42s
T104,2024-01-01,Monday,Bardhaman,Durgapur,14:30,15:20,14:42,15:38,12.7,55,Clear,Medium,14,False,False,18.9,0h 18m 54s
T104,2024-01-01,Monday,Durgapur,Asansol,15:20,16:00,15:38,16:34,18.9,40,Clear,Medium,15,False,False,34.7,0h 34m 42s
T104,2024-01-01,Monday,Asansol,Dhanbad,16:00,17:00,16:34,17:47,34.7,60,Rain,Low,16,False,False,47.7,0h 47m 42s
T105,2024-01-01,Monday,Howrah,Bardhaman,15:00,16:30,15:00,16:37,0.0,95,Clear,Low,15,False,False,7.0,0h 7m 0s
T105,2024-01-01,Monday,Bardhaman,Durgapur,16:30,17:20,16:37,17:33,7.0,55,Clear,Medium,16,False,False,13.1,0h 13m 6s
